layer,from_token,to_token,attention_score
9,·essential,Disc,0.795605
9,·essential,rete,0.016778
9,·essential,·mathematics,0.065452
9,·essential,·is,0.074229
9,·essential,·essential,0.047935
9,·essential,·for,0.0
9,·essential,·programming,0.0
9,·essential,.,0.0
9,·for,Disc,0.618983
9,·for,rete,0.03048
9,·for,·mathematics,0.156395
9,·for,·is,0.052451
9,·for,·essential,0.073935
9,·for,·for,0.067757
9,·for,·programming,0.0
9,·for,.,0.0
9,·programming,Disc,0.701324
9,·programming,rete,0.021458
9,·programming,·mathematics,0.060811
9,·programming,·is,0.03501
9,·programming,·essential,0.027087
9,·programming,·for,0.084335
9,·programming,·programming,0.069975
9,·programming,.,0.0
9,.,Disc,0.660783
9,.,rete,0.02789
9,.,·mathematics,0.073928
9,.,·is,0.054183
9,.,·essential,0.029222
9,.,·for,0.033799
9,.,·programming,0.063492
9,.,.,0.056702
10,Disc,Disc,1.0
10,Disc,rete,0.0
10,Disc,·mathematics,0.0
10,Disc,·is,0.0
10,Disc,·essential,0.0
10,Disc,·for,0.0
10,Disc,·programming,0.0
10,Disc,.,0.0
10,rete,Disc,0.957931
10,rete,rete,0.04207
10,rete,·mathematics,0.0
10,rete,·is,0.0
10,rete,·essential,0.0
10,rete,·for,0.0
10,rete,·programming,0.0
10,rete,.,0.0
10,·mathematics,Disc,0.929817
10,·mathematics,rete,0.025792
10,·mathematics,·mathematics,0.044391
10,·mathematics,·is,0.0
10,·mathematics,·essential,0.0
10,·mathematics,·for,0.0
10,·mathematics,·programming,0.0
10,·mathematics,.,0.0
10,·is,Disc,0.862628
10,·is,rete,0.021898
10,·is,·mathematics,0.072919
10,·is,·is,0.042554
10,·is,·essential,0.0
10,·is,·for,0.0
10,·is,·programming,0.0
10,·is,.,0.0
10,·essential,Disc,0.908851
10,·essential,rete,0.005275
10,·essential,·mathematics,0.028613
10,·essential,·is,0.033763
10,·essential,·essential,0.023499
10,·essential,·for,0.0
10,·essential,·programming,0.0
10,·essential,.,0.0
10,·for,Disc,0.78614
10,·for,rete,0.020158
10,·for,·mathematics,0.087457
10,·for,·is,0.023846
10,·for,·essential,0.044312
10,·for,·for,0.038087
10,·for,·programming,0.0
10,·for,.,0.0
10,·programming,Disc,0.821224
10,·programming,rete,0.010297
10,·programming,·mathematics,0.026493
10,·programming,·is,0.013929
10,·programming,·essential,0.013872
10,·programming,·for,0.074299
10,·programming,·programming,0.039887
10,·programming,.,0.0
10,.,Disc,0.686497
10,.,rete,0.057411
10,.,·mathematics,0.084662
10,.,·is,0.025942
10,.,·essential,0.025237
10,.,·for,0.017387
10,.,·programming,0.059052
10,.,.,0.043813
11,Disc,Disc,1.0
11,Disc,rete,0.0
11,Disc,·mathematics,0.0
11,Disc,·is,0.0
11,Disc,·essential,0.0
11,Disc,·for,0.0
11,Disc,·programming,0.0
11,Disc,.,0.0
11,rete,Disc,0.966399
11,rete,rete,0.033601
11,rete,·mathematics,0.0
11,rete,·is,0.0
11,rete,·essential,0.0
11,rete,·for,0.0
11,rete,·programming,0.0
11,rete,.,0.0
11,·mathematics,Disc,0.892831
11,·mathematics,rete,0.043864
11,·mathematics,·mathematics,0.063305
11,·mathematics,·is,0.0
11,·mathematics,·essential,0.0
11,·mathematics,·for,0.0
11,·mathematics,·programming,0.0
11,·mathematics,.,0.0
11,·is,Disc,0.849686
11,·is,rete,0.029588
11,·is,·mathematics,0.077847
11,·is,·is,0.042878
11,·is,·essential,0.0
11,·is,·for,0.0
11,·is,·programming,0.0
11,·is,.,0.0
11,·essential,Disc,0.887717
11,·essential,rete,0.006351
11,·essential,·mathematics,0.037727
11,·essential,·is,0.034478
11,·essential,·essential,0.033727
11,·essential,·for,0.0
11,·essential,·programming,0.0
11,·essential,.,0.0
11,·for,Disc,0.797209
11,·for,rete,0.019606
11,·for,·mathematics,0.105666
11,·for,·is,0.016999
11,·for,·essential,0.014097
11,·for,·for,0.046423
11,·for,·programming,0.0
11,·for,.,0.0
11,·programming,Disc,0.744479
11,·programming,rete,0.016805
11,·programming,·mathematics,0.047856
11,·programming,·is,0.01734
11,·programming,·essential,0.023517
11,·programming,·for,0.065317
11,·programming,·programming,0.084686
11,·programming,.,0.0
11,.,Disc,0.629319
11,.,rete,0.087246
11,.,·mathematics,0.119591
11,.,·is,0.017736
11,.,·essential,0.012268
11,.,·for,0.010527
11,.,·programming,0.072553
11,.,.,0.050761
12,Disc,Disc,1.0
12,Disc,rete,0.0
12,Disc,·mathematics,0.0
12,Disc,·is,0.0
12,Disc,·essential,0.0
12,Disc,·for,0.0
12,Disc,·programming,0.0
12,Disc,.,0.0
12,rete,Disc,0.838132
12,rete,rete,0.161868
12,rete,·mathematics,0.0
12,rete,·is,0.0
12,rete,·essential,0.0
12,rete,·for,0.0
12,rete,·programming,0.0
12,rete,.,0.0
12,·mathematics,Disc,0.766533
12,·mathematics,rete,0.113142
12,·mathematics,·mathematics,0.120325
